X  1.43779676, cosTheta -0.27062738, sinTheta  0.96268418,
X  1.43781132, cosTheta -0.27049994, sinTheta  0.96271999,
X  1.43782898, cosTheta -0.27034423, sinTheta  0.96276373,
X  1.43784969, cosTheta -0.27016021, sinTheta  0.96281538,
X  1.43787340, cosTheta -0.26994789, sinTheta  0.96287493,
X  1.43790005, cosTheta -0.26970723, sinTheta  0.96294237,
X  1.43792958, cosTheta -0.26943821, sinTheta  0.96301768,
X  1.43796195, cosTheta -0.26914081, sinTheta  0.96310084,
X  1.43799710, cosTheta -0.26881501, sinTheta  0.96319182,
X  1.43803496, cosTheta -0.26846079, sinTheta  0.96329061,
X  1.43807547, cosTheta -0.26807812, sinTheta  0.96339718,
X  1.43811857, cosTheta -0.26766697, sinTheta  0.96351149,
X  1.43816419, cosTheta -0.26722732, sinTheta  0.96363352,
X  1.43821228, cosTheta -0.26675914, sinTheta  0.96376323,
X  1.43826275, cosTheta -0.26626239, sinTheta  0.96390058,
X  1.43831554, cosTheta -0.26573706, sinTheta  0.96404554,
X  1.43837058, cosTheta -0.26518312, sinTheta  0.96419807,
X  1.43842780, cosTheta -0.26460052, sinTheta  0.96435811,
X  1.43848711, cosTheta -0.26398924, sinTheta  0.96452563,
X  1.43854845, cosTheta -0.26334925, sinTheta  0.96470056,
X  1.43861173, cosTheta -0.26268051, sinTheta  0.96488287,
X  1.43867687, cosTheta -0.26198300, sinTheta  0.96507249,
X  1.43874380, cosTheta -0.26125667, sinTheta  0.96526937,
X  1.43881243, cosTheta -0.26050151, sinTheta  0.96547344,
X  1.43888266, cosTheta -0.25971746, sinTheta  0.96568465,
X  1.43895442, cosTheta -0.25890451, sinTheta  0.96590292,
X  1.43902762, cosTheta -0.25806261, sinTheta  0.96612820,
X  1.43910216, cosTheta -0.25719172, sinTheta  0.96636040,
X  1.43917795, cosTheta -0.25629183, sinTheta  0.96659945,
X  1.43925490, cosTheta -0.25536289, sinTheta  0.96684528,
X  1.43937158, cosTheta -0.25392372, sinTheta  0.96722425,
X  1.43944949, cosTheta -0.25294127, sinTheta  0.96748163,
X  1.43952531, cosTheta -0.25196770, sinTheta  0.96773565,
X  1.43959906, cosTheta -0.25100302, sinTheta  0.96798630,
X  1.43967078, cosTheta -0.25004727, sinTheta  0.96823363,
X  1.43974049, cosTheta -0.24910046, sinTheta  0.96847765,
X  1.43980823, cosTheta -0.24816263, sinTheta  0.96871839,
X  1.43987402, cosTheta -0.24723379, sinTheta  0.96895586,
X  1.43993790, cosTheta -0.24631397, sinTheta  0.96919009,
X  1.43999989, cosTheta -0.24540319, sinTheta  0.96942110,
X  1.44006004, cosTheta -0.24450148, sinTheta  0.96964892,
X  1.44011835, cosTheta -0.24360885, sinTheta  0.96987356,
X  1.44017487, cosTheta -0.24272533, sinTheta  0.97009505,
X  1.44022963, cosTheta -0.24185094, sinTheta  0.97031342,
X  1.44028265, cosTheta -0.24098569, sinTheta  0.97052867,
X  1.44033397, cosTheta -0.24012961, sinTheta  0.97074084,
X  1.44038361, cosTheta -0.23928271, sinTheta  0.97094994,
X  1.44043160, cosTheta -0.23844502, sinTheta  0.97115600,
X  1.44047798, cosTheta -0.23761654, sinTheta  0.97135904,
X  1.44052276, cosTheta -0.23679731, sinTheta  0.97155907,
X  1.44056599, cosTheta -0.23598734, sinTheta  0.97175613,
X  1.44060768, cosTheta -0.23518663, sinTheta  0.97195023,
X  1.44064787, cosTheta -0.23439522, sinTheta  0.97214139,
X  1.44068659, cosTheta -0.23361311, sinTheta  0.97232963,
X  1.44072387, cosTheta -0.23284031, sinTheta  0.97251498,
X  1.44075972, cosTheta -0.23207686, sinTheta  0.97269745,
X  1.44079419, cosTheta -0.23132275, sinTheta  0.97287707,
X  1.44082729, cosTheta -0.23057800, sinTheta  0.97305384,
X  1.44085907, cosTheta -0.22984263, sinTheta  0.97322781,
X  1.44088954, cosTheta -0.22911665, sinTheta  0.97339897,
X  1.44091873, cosTheta -0.22840007, sinTheta  0.97356736,
X  1.44094667, cosTheta -0.22769291, sinTheta  0.97373299,
X  1.44097339, cosTheta -0.22699517, sinTheta  0.97389588,
X  1.44099892, cosTheta -0.22630686, sinTheta  0.97405606,
X  1.44102328, cosTheta -0.22562801, sinTheta  0.97421353,
X  1.44104649, cosTheta -0.22495861, sinTheta  0.97436832,
X  1.44106860, cosTheta -0.22429868, sinTheta  0.97452045,
X  1.44108961, cosTheta -0.22364824, sinTheta  0.97466993,
X  1.44110957, cosTheta -0.22300728, sinTheta  0.97481678,
X  1.44112849, cosTheta -0.22237581, sinTheta  0.97496102,
X  1.44114640, cosTheta -0.22175386, sinTheta  0.97510267,
X  1.44116333, cosTheta -0.22114142, sinTheta  0.97524175,
X  1.44117931, cosTheta -0.22053850, sinTheta  0.97537827,
X  1.44119435, cosTheta -0.21994512, sinTheta  0.97551225,
